Номер точки ;Вес бюкса;Вес бюкса с сырой почвой;Вес бюкса с сухой почвой;Вес сырой почвы;Вес сухой почвы;Вес влаги;Влажность 
59;21,95;48,85;45,89;26,90;23,94;2,96;12,36424394
5;22,99;46,57;42,95;23,58;19,96;3,62;18,13627255
4;22,03;44,79;40,54;22,76;18,51;4,25;22,96056186
15(1);21,57;50,6;46,41;29,03;24,84;4,19;16,86795491
62-8;22,54;44,98;42,25;22,44;19,71;2,73;13,85083714
62;21,92;49,08;46,11;27,16;24,19;2,97;12,27780074
19;22,46;43,52;41,08;21,06;18,62;2,44;13,10418904
3;22,74;42,45;40,54;19,71;17,8;1,91;10,73033708
61;21,78;46,71;43,33;24,93;21,55;3,38;15,68445476
38;23,27;46,66;44,1;23,39;20,83;2,56;12,28996639
43;22,7;41,24;38,91;18,54;16,21;2,33;14,37384331
37;22,14;41,47;39,15;19,33;17,01;2,32;13,63903586
42;23,03;45,06;42,86;22,03;19,83;2,20;11,09430156
49;22,91;47,5;45,46;24,59;22,55;2,04;9,046563193
50;22,47;44,24;41,75;21,77;19,28;2,49;12,91493776
